freq804	frac804
512.3	0.833816728
512.4	0.711390641
512.5	0.674722554
512.6	0.777789169
512.7	0.791978307
512.8	0.872445228
512.9	0.879604466
513	0.962932188
513.1	0.90252886
513.2	0.900768784
513.3	0.916559266
513.4	1.021756331
513.5	1.022899566
513.6	0.984946697
513.7	0.954933613
513.8333333	0.975627613
513.9666667	1.03536526
514.1333333	1.026646736
514.2666667	1.043926408
514.4	1.018170155
514.5	1.016079953
514.6	0.898701193
514.7	0.89157135
514.8	0.842232258
514.9	0.657652264
514.9666667	0.648709888
515.0333333	0.652996567
515.1	0.84986091
515.2	0.802639154
515.3	0.788230685
515.4	0.809223609
515.5	0.83089759
515.5666667	0.920258951
515.6033333	0.918072876
515.61	0.925337936
515.62	0.888769339
515.63	0.96034589
515.64	1.023442693
515.65	0.976112403
515.66	0.928376463
515.67	0.920725652
515.68	0.851632743
515.69	0.829047068
515.6966667	0.852358571
515.7033333	0.978771509
515.71	0.967796363
515.72	0.848804955
515.73	0.808038769
515.74	0.806536464
515.75	0.89620308
515.76	0.920867199
515.77	0.929364583
515.78	0.907172348
515.79	0.831834156
515.7966667	0.799847544
515.8	0.808959507
515.8016667	0.829238361
515.805	0.853996092
515.81	0.826600962
515.815	0.896251921
515.82	0.915455375
515.825	1.008993071
515.83	0.98774916
515.835	1.040841753
515.84	0.984544213
515.845	0.997492435
515.85	0.942786288
515.855	0.880759459
515.86	0.93779775
515.865	1.025055342
515.87	1.074962434
515.875	0.989329248
515.88	0.894403661
515.885	0.916240444
515.89	0.91033976
515.895	0.769313944
515.8983333	0.62205189
515.9	0.675811521
515.9016667	0.776874761
515.905	0.893340923
515.91	0.812353486
515.915	0.774684616
515.92	0.716907835
515.925	0.693674568
515.93	0.74784618
515.935	0.851180514
515.94	0.992420234
515.945	0.925091471
515.95	0.890813867
515.955	0.757729193
515.96	0.882289349
515.965	0.852594634
515.97	0.83188978
515.975	0.747022671
515.98	0.743289972
515.985	0.874599195
515.99	0.958738215
515.9943333	0.98331008
515.9976667	0.70605886
515.9993333	0.487207141
516	0.49968007
516	0.745494137
516.0016667	0.987336275
516.005	0.950613921
516.01	0.876318569
516.015	0.87965602
516.02	0.918322959
516.025	0.920805244
516.03	0.825653994
516.035	0.765582602
516.04	0.734088016
516.045	0.681322384
516.05	0.653085203
516.055	0.559686341
516.06	0.437867145
516.065	0.310137315
516.07	0.269425396
516.075	0.223269544
516.08	0.241086916
516.085	0.239509089
516.09	0.324116619
516.095	0.321467009
516.0983333	0.358508637
516.1	0.43559198
516.1016667	0.475732734
516.105	0.583503435
516.11	0.633915215
516.115	0.702306264
516.12	0.780000116
516.125	0.797713928
516.13	0.868394612
516.135	0.825379491
516.14	0.897065933
516.145	0.864627092
516.15	0.888709645
516.155	0.811446314
516.16	0.828827737
516.165	0.845296562
516.17	0.877210817
516.175	0.885032118
516.18	0.89760906
516.185	0.85482141
516.19	0.921123161
516.195	0.693136416
516.1983333	0.550769289
516.2	0.53292614
516.2016667	0.709488113
516.205	0.894226387
516.21	0.909776735
516.215	1.016254513
516.22	1.026771551
516.225	1.166062616
516.23	1.104166481
516.235	1.099020114
516.24	0.882264025
516.245	0.910626473
516.25	1.013355725
516.255	1.007038537
516.26	0.971078189
516.265	0.947783872
516.27	1.094873626
516.275	1.051501696
516.28	1.026778335
516.285	0.898419455
516.29	1.050068582
516.295	0.828482687
516.2983333	0.673601026
516.3	0.561593843
516.3016667	0.775351654
516.305	1.056068757
516.31	1.16262658
516.315	1.273069955
516.32	1.176099387
516.325	1.112416043
516.33	0.998143645
516.335	0.946929159
516.34	0.925608369
516.345	0.954169798
516.35	1.016180347
516.355	0.971933354
516.36	0.888105015
516.365	0.924579548
516.37	0.919895811
516.375	0.98907193
516.38	0.906073883
516.385	0.948625018
516.39	0.952948327
516.395	0.82234006
516.3983333	0.699148801
516.4	0.618525408
516.4016667	0.802697944
516.405	0.849193872
516.41	0.880282357
516.415	0.813402657
516.42	0.80986487
516.425	0.804358981
516.43	0.813139912
516.435	0.959838941
516.44	0.998141383
516.445	1.044785643
516.45	0.971347265
516.455	0.941717671
516.46	0.825535058
516.465	0.984869818
516.47	1.047884316
516.475	1.094645703
516.48	0.90041288
516.485	0.915368094
516.49	0.918247889
516.495	0.887372856
516.4983333	0.740250993
516.5	0.79623333
516.5016667	0.837051522
516.505	0.965071231
516.51	0.926572973
516.515	0.901999752
516.52	0.782162676
516.525	0.793647032
516.53	0.78661894
516.535	0.792869198
516.54	0.755069182
516.545	0.718758356
516.55	0.723024685
516.555	0.774255451
516.56	0.834967199
516.565	0.885029857
516.57	0.950951284
516.575	1.003607928
516.58	1.015496125
516.585	0.970112228
516.59	0.893243241
516.595	0.805210076
516.5983333	0.768224977
516.6016667	0.821560869
516.605	0.850570457
516.61	0.831723812
516.615	0.797224164
516.62	0.834692696
516.625	0.808801227
516.63	0.830322354
516.635	0.787343411
516.64	0.742781215
516.645	0.800614525
516.65	0.827343974
516.655	0.960702698
516.66	0.853964436
516.665	0.837281707
516.67	0.841396087
516.675	0.842536156
516.6816667	0.876197824
516.69	0.783811955
516.6966667	0.81732484
516.7666667	0.818413355
516.8666667	0.954510326
517	1.02528417
517.1	1.074690644
517.2	0.994501392
517.3	0.998869924
517.4	0.974220729
517.5	0.993733055
517.6	0.976352536
517.7	0.936937158
517.7666667	0.961262106
517.8333333	0.821663525
517.8666667	0.827623451
517.9333333	0.75139256
517.9666667	0.909375607
518.0333333	0.895501673
518.0666667	1.00399187
518.1333333	0.932185588
518.1666667	0.973143519
518.2333333	0.922425128
518.2666667	0.977211319
518.3333333	0.948596979
518.4	0.964408263
518.5	0.966712822
518.6	1.005476086
518.7	1.011188191
518.8	1.010606172
518.9	1.069578195
519	1.107727332
519.1	1.205027574
519.2	1.164607343
519.3	1.14651366
519.4	1.057429062
519.5	1.041613708
519.6	0.947094222
519.7	0.993289418
519.8	0.968641579
519.9	0.90329177
519.9666667	0.785744782
520.0333333	0.757740047
520.1	0.847242956
520.2	0.881242439
520.3	0.826707688
520.4	0.850439311
520.5	0.839067107
520.6	0.841001743
520.7	0.867829326
520.8	0.893818024
520.9	0.984808315
521	0.952444996
521.1	0.988281886
521.2	0.969369216
521.3	0.951543252
521.4	0.859480726
521.5	0.872783043
521.6	0.895000603
521.7	0.949666953
521.8	1.040527002
521.9	1.036640998
522	1.070889659
522.1	0.98075182
522.2	0.906030469
522.3	0.927959055
522.4	0.905959922
522.5	0.953167658
522.6	0.85630246
522.7	0.934467988
522.8	0.93940859
522.9	1.006874378
523	0.922706415
523.1	0.964619002
523.2	0.908652945
523.3	0.975789963
523.4	0.987446619
523.5	1.055233942
523.6	1.020747861
523.7	0.963244678
523.8	0.888404843
523.9	0.925084235
524	0.932043588
524.1	0.915193534
524.2	0.898353429
524.3	0.89698815
524.4	0.942598613
524.5	0.917143998
524.6	0.989075096
524.7	0.983010252
524.7666667	1.000267764
524.8333333	0.922218008
524.8666667	0.949423202
524.9333333	0.855778779
524.9666667	0.88881818
